brand,km_driven,fuel,owner,selling_price
Tata,116416,CNG,Third Owner,202000
Kia,193610,CNG,Fourth Owner,218000
Skoda,190408,Petrol,First Owner,435000
Tata,14412,Diesel,Third Owner,261000
Toyota,27464,Diesel,Second Owner,522000
Skoda,98906,Petrol,First Owner,487000
Tata,21326,Petrol,Second Owner,320000
Hyundai,78654,Diesel,Second Owner,329000
Honda,174802,Diesel,Third Owner,273000
Kia,126834,Diesel,Third Owner,365000
Honda,14761,Petrol,Third Owner,284000
Maruti,142554,Diesel,First Owner,323000
Hyundai,74403,CNG,Fourth Owner,187000
Skoda,182100,CNG,Fourth Owner,208000
Kia,190287,Petrol,Third Owner,295000
Hyundai,195263,Petrol,Second Owner,259000
Tata,44031,Petrol,First Owner,348000
Skoda,122916,CNG,Third Owner,279000
Maruti,142629,Diesel,Fourth Owner,131000
Volkswagen,21858,Diesel,Third Owner,374000
Honda,126870,Diesel,Third Owner,267000
Toyota,153412,Petrol,Third Owner,345000
Hyundai,67112,Diesel,Third Owner,276000
Honda,110041,Diesel,Third Owner,277000
Mahindra,75058,Petrol,Second Owner,335000
Maruti,33528,Diesel,Third Owner,207000
Tata,113279,CNG,First Owner,327000
Toyota,32146,Petrol,Second Owner,501000
Kia,95494,Diesel,Fourth Owner,284000
Honda,21478,Petrol,Second Owner,376000
Tata,147299,CNG,Second Owner,280000
Volkswagen,32306,Diesel,Second Owner,440000
Maruti,37503,Diesel,Third Owner,221000
Mahindra,174565,CNG,First Owner,349000
Kia,138265,CNG,Second Owner,407000
Maruti,141850,Petrol,First Owner,273000
Skoda,134219,CNG,First Owner,456000
Skoda,63796,Petrol,Second Owner,386000
Mahindra,30116,Petrol,Fourth Owner,212000
Toyota,30308,Diesel,Second Owner,543000
Honda,180795,Petrol,Third Owner,238000
Volkswagen,13268,CNG,Second Owner,434000
Maruti,186161,Petrol,Third Owner,126000
Hyundai,86246,CNG,Fourth Owner,188000
Toyota,132248,Petrol,Fourth Owner,248000
Kia,32506,Diesel,Third Owner,391000
Maruti,30044,Petrol,Fourth Owner,154000
Mahindra,65007,Petrol,Fourth Owner,184000
Skoda,47156,CNG,First Owner,500000
Toyota,168168,Petrol,Second Owner,455000
Toyota,70655,Diesel,Third Owner,414000
Mahindra,51698,Petrol,First Owner,385000
Mahindra,116278,CNG,Fourth Owner,175000
Honda,108593,Petrol,Third Owner,261000
Skoda,95078,Petrol,First Owner,474000
Tata,196914,Diesel,Second Owner,274000
Toyota,27033,Petrol,Third Owner,388000
Tata,104557,CNG,First Owner,357000
Toyota,36662,Diesel,Third Owner,395000
Toyota,75358,CNG,Second Owner,467000
Tata,59767,CNG,Third Owner,234000
Tata,155267,Diesel,Fourth Owner,184000
Hyundai,22969,CNG,First Owner,400000
Mahindra,178949,CNG,Second Owner,289000
Mahindra,54764,Diesel,Second Owner,380000
Tata,88059,Petrol,Third Owner,217000
Toyota,88862,Petrol,Second Owner,477000
Kia,41389,CNG,Fourth Owner,254000
Honda,141230,Diesel,Second Owner,380000
Kia,97250,Diesel,Fourth Owner,280000
Tata,73985,Diesel,Second Owner,316000
Honda,93699,Petrol,First Owner,418000
Ford,15264,Petrol,Second Owner,289000
Tata,108793,Petrol,Second Owner,277000
Ford,82749,Diesel,Fourth Owner,193000
Ford,34274,Diesel,Second Owner,315000
Hyundai,179290,Petrol,Fourth Owner,155000
Tata,43357,Petrol,First Owner,349000
Tata,163924,CNG,Fourth Owner,153000
Maruti,148375,Diesel,Fourth Owner,141000
Mahindra,68667,Diesel,First Owner,440000
Honda,199198,CNG,First Owner,400000
Skoda,10358,CNG,First Owner,485000
Hyundai,179215,CNG,First Owner,346000
Honda,148478,CNG,Third Owner,257000
Skoda,88734,Diesel,First Owner,538000
Volkswagen,78388,Diesel,Fourth Owner,256000
Volkswagen,150896,Diesel,First Owner,524000
Mahindra,178971,Petrol,Third Owner,215000
Mahindra,153393,CNG,Second Owner,295000
Maruti,24498,Petrol,Third Owner,169000
Hyundai,31257,Petrol,Fourth Owner,187000
Hyundai,107050,CNG,Fourth Owner,163000
Mahindra,198306,Diesel,Third Owner,254000
Ford,61925,CNG,Fourth Owner,137000
Toyota,63796,CNG,First Owner,593000
Hyundai,70505,Petrol,Second Owner,317000
Hyundai,38575,Petrol,Third Owner,261000
Volkswagen,137153,Diesel,Second Owner,434000
Maruti,113143,CNG,Second Owner,196000
Hyundai,118890,Diesel,Second Owner,317000
Maruti,127870,Diesel,Fourth Owner,137000
Skoda,96309,Diesel,Second Owner,415000
Honda,18360,CNG,Fourth Owner,220000
Tata,125981,Petrol,Third Owner,200000
Skoda,83349,Diesel,First Owner,510000
Ford,157096,Petrol,First Owner,296000
Tata,123363,Petrol,Third Owner,196000
Maruti,61305,CNG,Fourth Owner,136000
Kia,94753,Petrol,Second Owner,426000
Mahindra,75015,Diesel,Fourth Owner,219000
Maruti,131648,Petrol,First Owner,245000
Maruti,26476,Petrol,Second Owner,258000
Ford,97810,Petrol,Third Owner,181000
Toyota,82254,CNG,Third Owner,365000
Maruti,16358,CNG,First Owner,290000
Skoda,111322,Petrol,Fourth Owner,213000
Tata,140165,Petrol,Second Owner,262000
Maruti,191432,CNG,Third Owner,127000
Volkswagen,93767,Diesel,Third Owner,353000
Ford,144187,CNG,First Owner,300000
Tata,116890,Diesel,Second Owner,302000
Maruti,52124,Petrol,Third Owner,187000
Skoda,173735,Diesel,Third Owner,291000
Hyundai,140672,Diesel,Fourth Owner,192000
Honda,119272,Diesel,Second Owner,384000
Volkswagen,151181,CNG,Second Owner,369000
Toyota,158605,Petrol,Third Owner,340000
Ford,62216,Petrol,Third Owner,218000
Hyundai,71735,Diesel,Second Owner,338000
Toyota,95547,CNG,Second Owner,448000
Tata,142992,Petrol,Second Owner,283000
Hyundai,181265,CNG,First Owner,356000
Maruti,134456,Diesel,First Owner,305000
Mahindra,86985,Petrol,First Owner,389000
Skoda,167415,Diesel,Second Owner,419000
Hyundai,144393,Diesel,Third Owner,241000
Mahindra,184261,CNG,Third Owner,198000
Skoda,67054,CNG,Third Owner,287000
Ford,21577,Petrol,Second Owner,274000
Toyota,12983,Diesel,Second Owner,531000
Tata,58534,CNG,Third Owner,230000
Skoda,139925,Diesel,First Owner,524000
Mahindra,36578,Diesel,Fourth Owner,230000
Kia,181195,Diesel,First Owner,536000
Tata,117423,CNG,Third Owner,210000
Toyota,91883,Petrol,First Owner,590000
Ford,14774,Petrol,Fourth Owner,174000
Hyundai,63390,Petrol,Fourth Owner,161000
Tata,39763,Diesel,Fourth Owner,189000
Tata,130823,CNG,Third Owner,198000
Honda,154584,Diesel,First Owner,443000
Tata,142241,Diesel,Third Owner,228000
Honda,52418,Petrol,Third Owner,291000
Honda,110593,Diesel,First Owner,479000
Hyundai,21402,Petrol,Second Owner,333000
Ford,32621,Diesel,Fourth Owner,181000
Hyundai,171147,CNG,Fourth Owner,142000
Mahindra,20934,Diesel,Second Owner,385000
Kia,104164,Diesel,Fourth Owner,257000
Honda,20773,Diesel,Second Owner,421000
Maruti,40862,CNG,Third Owner,188000
Volkswagen,180138,Petrol,Third Owner,291000
Toyota,121605,CNG,Second Owner,461000
Ford,56861,Petrol,Fourth Owner,139000
Maruti,131968,CNG,Fourth Owner,106000
Mahindra,57072,CNG,Fourth Owner,204000
Tata,43673,Diesel,First Owner,420000
Tata,125859,Petrol,First Owner,355000
Kia,20656,CNG,First Owner,532000
Skoda,198846,CNG,Third Owner,279000
Skoda,181113,Diesel,Fourth Owner,210000
Maruti,60779,Diesel,First Owner,320000
Mahindra,189865,Petrol,Second Owner,282000
Skoda,51619,Petrol,Third Owner,311000
Volkswagen,47636,Petrol,Fourth Owner,242000
Kia,165159,Petrol,Second Owner,399000
Volkswagen,93644,CNG,Second Owner,403000
Maruti,115766,Diesel,Second Owner,243000
Toyota,108786,CNG,Third Owner,348000
Toyota,176807,Diesel,First Owner,601000
Mahindra,76068,CNG,First Owner,412000
Tata,79403,CNG,Third Owner,228000
Ford,104437,CNG,Second Owner,257000
Skoda,56335,Petrol,Second Owner,376000
Toyota,91283,CNG,Third Owner,381000
Ford,18858,CNG,First Owner,339000
Honda,119494,Petrol,Fourth Owner,203000
Ford,138029,Diesel,Second Owner,281000
Volkswagen,15843,CNG,First Owner,499000
Maruti,89623,CNG,Third Owner,155000
Kia,118327,Petrol,Second Owner,434000
Toyota,63525,CNG,Second Owner,477000
Volkswagen,45323,Petrol,Second Owner,394000
Hyundai,128188,CNG,Second Owner,276000
Skoda,184449,CNG,Second Owner,352000
Tata,24714,Petrol,First Owner,389000
Ford,167779,CNG,Fourth Owner,139000
Mahindra,10104,Diesel,Second Owner,365000
Maruti,116427,CNG,First Owner,257000
Hyundai,37503,Diesel,First Owner,420000
Volkswagen,47294,CNG,Second Owner,419000
Hyundai,170742,CNG,Fourth Owner,140000
Kia,88712,Petrol,First Owner,507000
Mahindra,108345,CNG,First Owner,396000
Mahindra,55977,Diesel,Fourth Owner,213000
Skoda,178825,Petrol,Second Owner,339000
Skoda,196563,Petrol,Third Owner,249000
Toyota,189760,CNG,Fourth Owner,257000
Toyota,32392,Petrol,Second Owner,496000
Maruti,71894,Diesel,Third Owner,199000
Honda,60315,CNG,Third Owner,280000
Ford,109470,CNG,Second Owner,269000
Mahindra,16951,Petrol,First Owner,424000
Hyundai,65565,CNG,Third Owner,246000
Volkswagen,158164,CNG,First Owner,464000
Honda,39332,Diesel,First Owner,475000
Volkswagen,47182,Diesel,Third Owner,338000
Maruti,191567,Diesel,Second Owner,212000
Skoda,27239,CNG,First Owner,511000
Ford,196448,Diesel,First Owner,346000
Skoda,63257,Diesel,Second Owner,419000
Maruti,175553,Diesel,First Owner,296000
Mahindra,35653,Diesel,Second Owner,368000
Toyota,121087,Petrol,Third Owner,351000
Maruti,84080,Petrol,Third Owner,153000
Ford,85405,Petrol,Fourth Owner,131000
Tata,145953,Diesel,Fourth Owner,158000
Ford,151002,Petrol,First Owner,322000
Hyundai,160612,CNG,First Owner,351000
Honda,147246,Petrol,First Owner,399000
Toyota,101174,Diesel,First Owner,632000
Skoda,139651,Petrol,Second Owner,387000
Ford,161521,CNG,Third Owner,169000
Toyota,140630,Diesel,Second Owner,482000
Skoda,138527,CNG,First Owner,475000
Skoda,103222,CNG,Third Owner,280000
Tata,120658,Petrol,First Owner,325000
Ford,78995,Diesel,Third Owner,244000
Kia,109432,CNG,Second Owner,413000
Mahindra,101353,Diesel,First Owner,458000
Ford,128045,CNG,Second Owner,265000
Ford,125028,Diesel,Fourth Owner,159000
Volkswagen,97570,Diesel,Second Owner,448000
Hyundai,80119,CNG,Second Owner,304000
Volkswagen,74901,Diesel,Second Owner,446000
Volkswagen,52185,CNG,Third Owner,318000
Ford,36687,Diesel,Third Owner,240000
Skoda,49573,Diesel,Fourth Owner,250000
Toyota,124012,CNG,Third Owner,351000
Hyundai,83611,Diesel,First Owner,418000
Tata,13307,Petrol,First Owner,382000
Tata,141199,CNG,Second Owner,269000
Mahindra,77426,Diesel,Second Owner,382000
Tata,122729,Diesel,Second Owner,333000
Volkswagen,69916,CNG,Fourth Owner,257000
Hyundai,178175,CNG,Second Owner,263000
Mahindra,78107,Petrol,Third Owner,236000
Tata,196948,Diesel,Fourth Owner,146000
Toyota,129326,Petrol,Fourth Owner,242000
Volkswagen,181570,Petrol,Second Owner,373000
Maruti,37886,Petrol,Fourth Owner,121000
Toyota,52163,CNG,Second Owner,469000
Kia,160617,Petrol,First Owner,512000
Kia,144267,Diesel,Fourth Owner,238000
Ford,117570,CNG,Third Owner,202000
Hyundai,112889,CNG,Second Owner,308000
Skoda,177134,CNG,Third Owner,256000
Toyota,114774,Petrol,Fourth Owner,250000
Maruti,120243,Diesel,Fourth Owner,142000
Volkswagen,68832,Petrol,First Owner,499000
Tata,112750,CNG,Second Owner,288000
Hyundai,28060,Diesel,Second Owner,353000
Mahindra,48342,CNG,Second Owner,333000
Tata,153725,Petrol,Third Owner,189000
Mahindra,80103,Petrol,Second Owner,325000
Toyota,136240,Petrol,Second Owner,431000
Toyota,181547,Petrol,Second Owner,437000
Ford,122326,Petrol,Fourth Owner,124000
Ford,110954,Diesel,Third Owner,210000
Skoda,46805,CNG,Third Owner,326000
Ford,182308,CNG,First Owner,276000
Hyundai,75542,Diesel,Third Owner,290000
Skoda,71247,CNG,Second Owner,381000
Mahindra,64667,Petrol,Second Owner,331000
Kia,185232,Diesel,First Owner,560000
Toyota,191611,Diesel,Fourth Owner,261000
Kia,185958,Diesel,Fourth Owner,232000
Kia,119848,Diesel,Third Owner,349000
Honda,156067,Petrol,Fourth Owner,162000
Mahindra,193611,Petrol,Second Owner,299000
Hyundai,151437,Petrol,Second Owner,302000
Maruti,132673,Diesel,Third Owner,205000
Mahindra,132096,CNG,Third Owner,238000
Tata,57321,Petrol,First Owner,366000
Maruti,188936,Diesel,First Owner,295000
Skoda,137054,CNG,Fourth Owner,198000
Maruti,173912,Diesel,Fourth Owner,111000
Ford,99472,Diesel,Third Owner,241000
Kia,84488,CNG,Second Owner,434000
Ford,155235,Petrol,Third Owner,164000
Toyota,139428,Petrol,Third Owner,355000
Ford,142756,CNG,Third Owner,187000
Hyundai,40914,CNG,Fourth Owner,189000
Hyundai,43441,Petrol,Third Owner,265000
Skoda,199445,Diesel,Fourth Owner,231000
Tata,114459,CNG,First Owner,345000
Skoda,59791,Diesel,First Owner,543000
Volkswagen,141292,CNG,First Owner,493000
Volkswagen,174315,Petrol,Second Owner,393000
Skoda,184850,Diesel,First Owner,505000
Honda,19693,Diesel,Second Owner,412000
Skoda,106696,CNG,First Owner,457000
Toyota,89178,CNG,Third Owner,355000
Tata,15345,Diesel,Third Owner,283000
Volkswagen,140486,CNG,First Owner,495000
Kia,120381,Diesel,First Owner,582000
Tata,13704,Petrol,First Owner,381000
Volkswagen,134635,CNG,Second Owner,393000
Kia,178953,Diesel,First Owner,557000
Hyundai,121935,Diesel,First Owner,394000
Maruti,33105,CNG,First Owner,284000
Skoda,14660,Diesel,Fourth Owner,269000
Volkswagen,59128,Diesel,Fourth Owner,251000
Ford,32096,CNG,Second Owner,277000
Kia,130738,CNG,Fourth Owner,232000
Maruti,12988,CNG,First Owner,280000
Maruti,111960,CNG,First Owner,267000
Toyota,137488,CNG,Second Owner,471000
Maruti,160723,Petrol,Third Owner,156000
Mahindra,47986,CNG,Second Owner,318000
Ford,175073,CNG,Second Owner,242000
Mahindra,81298,Petrol,Fourth Owner,203000
Ford,25895,Petrol,Third Owner,239000
Ford,49615,CNG,First Owner,355000
Toyota,74516,CNG,Fourth Owner,282000
Tata,167753,CNG,Fourth Owner,135000
Mahindra,94286,Petrol,First Owner,389000
Toyota,163784,Petrol,Second Owner,426000
Toyota,81787,Diesel,Second Owner,524000
Mahindra,151552,Petrol,First Owner,391000
Mahindra,199317,Petrol,Second Owner,280000
Toyota,187645,CNG,First Owner,550000
Mahindra,76777,CNG,Second Owner,340000
Maruti,151705,Petrol,Fourth Owner,90000
Kia,71044,Petrol,First Owner,535000
Volkswagen,146802,CNG,Third Owner,295000
Mahindra,59584,CNG,Second Owner,320000
Hyundai,193779,Diesel,Second Owner,310000
Ford,115510,CNG,Third Owner,207000
Honda,139307,Diesel,First Owner,463000
Skoda,31427,Petrol,Fourth Owner,231000
Ford,100419,CNG,First Owner,318000
Kia,34663,CNG,First Owner,522000
Hyundai,163802,CNG,Fourth Owner,168000
Hyundai,121660,Petrol,Third Owner,210000
Mahindra,76583,CNG,Second Owner,304000
Ford,109143,Diesel,Second Owner,281000
Maruti,156113,Diesel,First Owner,307000
Mahindra,166779,Petrol,First Owner,376000
Skoda,77421,CNG,First Owner,478000
Volkswagen,185563,Diesel,First Owner,528000
Tata,51871,Diesel,Fourth Owner,204000
Hyundai,55121,CNG,Second Owner,294000
Toyota,154922,Petrol,First Owner,535000
Maruti,24619,Petrol,Fourth Owner,129000
Honda,62153,Petrol,First Owner,431000
Volkswagen,181053,CNG,Fourth Owner,193000
Mahindra,77373,Petrol,Third Owner,255000
Skoda,109521,Petrol,Fourth Owner,208000
Mahindra,187639,Diesel,Second Owner,310000
Mahindra,19440,CNG,Second Owner,329000
Hyundai,46637,Diesel,Third Owner,288000
Skoda,174723,Petrol,First Owner,433000
Mahindra,71310,Petrol,Third Owner,263000
Skoda,47425,CNG,Third Owner,313000
Hyundai,57248,CNG,First Owner,392000
Kia,49162,Diesel,Fourth Owner,283000
Tata,50812,Petrol,Second Owner,278000
Toyota,97689,CNG,Third Owner,352000
Toyota,93379,Petrol,First Owner,582000
Mahindra,144599,Diesel,Second Owner,326000
Hyundai,85034,CNG,Fourth Owner,162000
Toyota,123261,Diesel,Third Owner,383000
Hyundai,112274,Diesel,First Owner,415000
Tata,86945,Diesel,First Owner,393000
Maruti,143899,Petrol,Third Owner,141000
Mahindra,58711,Diesel,Third Owner,291000
Tata,67216,Diesel,Fourth Owner,193000
Volkswagen,57219,Diesel,Second Owner,464000
Hyundai,61566,CNG,Second Owner,329000
Skoda,81798,Diesel,Fourth Owner,242000
Hyundai,162812,Diesel,Second Owner,320000
Hyundai,191467,Diesel,First Owner,407000
Tata,145910,CNG,First Owner,339000
Ford,33679,Petrol,Fourth Owner,146000
Tata,184452,Petrol,Second Owner,254000
Hyundai,19613,Diesel,Third Owner,277000
Ford,103364,CNG,First Owner,333000
Mahindra,41659,CNG,First Owner,411000
Hyundai,161076,Petrol,Fourth Owner,136000
Toyota,127031,Diesel,Fourth Owner,301000
Maruti,15423,CNG,Second Owner,237000
Skoda,54008,Diesel,Second Owner,422000
Toyota,15099,Petrol,First Owner,582000
Hyundai,167128,Petrol,First Owner,368000
Mahindra,194194,CNG,Second Owner,295000
Skoda,197982,Petrol,First Owner,432000
Maruti,131856,Petrol,First Owner,273000
Volkswagen,38846,CNG,Third Owner,314000
Skoda,151976,Petrol,Second Owner,383000
Hyundai,185315,Diesel,Second Owner,331000
